Country,Year,GDP (in billion USD),Inflation Rate (%),Unemployment Rate (%),Economic Growth (%),GDP_Index
France,2010,2400.0,1.5,9.5,1.7,100.0
France,2011,2500.0,2.3,9.8,1.1,104.2
France,2012,2600.0,2.0,10.0,0.0,108.3
France,2013,2700.0,0.9,10.3,-0.2,112.5
France,2014,2800.0,0.3,10.5,0.2,116.7
France,2015,2900.0,0.1,10.3,1.2,120.8
France,2016,3000.0,0.2,10.0,1.1,125.0
France,2017,3100.0,1.0,9.5,2.3,129.2
France,2018,3200.0,2.1,9.1,1.8,133.3
France,2019,3300.0,1.3,8.8,1.3,137.5
France,2020,3400.0,0.5,9.4,-7.8,141.7
France,2021,3500.0,1.6,8.1,7.0,145.8
France,2022,3600.0,5.0,7.8,2.6,150.0
France,2023,3700.0,6.1,7.5,1.5,154.2
France,2024,3800.0,3.9,7.2,2.1,158.3
France,2025,3900.0,2.8,6.9,2.5,162.5
Germany,2010,3300.0,1.1,6.8,4.0,100.0
Germany,2011,3400.0,2.3,6.5,3.6,103.0
Germany,2012,3500.0,2.0,6.0,3.4,106.1
Germany,2013,3600.0,1.4,5.8,3.5,109.1
Germany,2014,3700.0,0.9,5.0,3.6,112.1
Germany,2015,3800.0,0.3,4.7,3.7,115.2
Germany,2016,3900.0,0.5,4.5,3.6,118.2
Germany,2017,4000.0,1.8,4.3,2.6,121.2
Germany,2018,4100.0,1.9,3.9,2.5,124.2
Germany,2019,4200.0,1.4,3.6,2.0,127.3
Germany,2020,4300.0,0.6,4.2,-4.9,130.3
Germany,2021,4400.0,3.1,3.8,3.6,133.3
Germany,2022,4500.0,7.1,3.5,2.8,136.4
Germany,2023,4600.0,6.5,3.3,2.2,139.4
Germany,2024,4700.0,5.8,3.1,2.5,142.4
Germany,2025,4800.0,4.9,3.0,2.6,145.5
UK,2010,2200.0,3.3,7.8,1.9,100.0
UK,2011,2300.0,4.5,8.0,1.0,104.5
UK,2012,2400.0,2.8,7.8,0.1,109.1
UK,2013,2500.0,2.6,7.4,1.9,113.6
UK,2014,2600.0,1.5,6.0,2.8,118.2
UK,2015,2700.0,0.0,5.4,3.1,122.7
UK,2016,2800.0,0.6,4.9,1.8,127.3
UK,2017,2900.0,2.7,4.4,1.8,131.8
UK,2018,3000.0,2.5,4.0,1.4,136.4
UK,2019,3100.0,1.8,3.8,1.3,140.9
UK,2020,3200.0,0.9,4.5,-9.8,145.5
UK,2021,3300.0,1.5,4.1,7.4,150.0
UK,2022,3400.0,5.4,3.7,4.1,154.5
UK,2023,3500.0,6.0,3.6,1.8,159.1
UK,2024,3600.0,3.9,3.5,2.2,163.6
UK,2025,3700.0,2.8,3.3,2.5,168.2
USA,2010,15000.0,1.64,9.63,2.55,100.0
USA,2011,15500.0,3.16,8.94,1.53,103.3
USA,2012,16000.0,2.07,8.1,2.28,106.7
USA,2013,16500.0,1.5,7.7,1.84,110.0
USA,2014,17000.0,1.62,7.25,2.53,113.3
USA,2015,17500.0,0.12,5.32,3.08,116.7
USA,2016,18000.0,1.26,4.87,2.69,120.0
USA,2017,18500.0,2.13,4.3,2.81,123.3
USA,2018,19000.0,2.44,3.91,2.9,126.7
USA,2019,19500.0,1.81,3.7,2.33,130.0
USA,2020,20000.0,1.25,8.1,-3.42,133.3
USA,2021,20500.0,5.39,5.4,5.92,136.7
USA,2022,21000.0,8.0,5.6,2.51,140.0
USA,2023,21500.0,4.25,4.8,3.15,143.3
USA,2024,22000.0,3.9,4.5,2.9,146.7
USA,2025,22500.0,3.5,4.2,2.6,150.0
